City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cockburn Town,TC,2022-06-12 17:50:12,21.4612,-71.1419,85.96,66,20,17.27
1,Gat,IL,2022-06-12 17:50:12,31.61,34.7642,75.88,100,0,6.15
2,Parvatsar,IN,2022-06-12 17:50:12,26.8833,74.7667,87.33,42,100,14.65
3,Punta Arenas,CL,2022-06-12 17:50:13,-53.15,-70.9167,53.71,66,20,11.5
4,Saint George,US,2022-06-12 17:41:27,37.1041,-113.5841,100.63,9,0,27.63
5,Cockburn Town,TC,2022-06-12 17:50:12,21.4612,-71.1419,85.96,66,20,17.27
6,Gat,IL,2022-06-12 17:50:12,31.61,34.7642,75.88,100,0,6.15
7,Parvatsar,IN,2022-06-12 17:50:12,26.8833,74.7667,87.33,42,100,14.65
8,Punta Arenas,CL,2022-06-12 17:50:13,-53.15,-70.9167,53.71,66,20,11.5
9,Saint George,US,2022-06-12 17:41:27,37.1041,-113.5841,100.63,9,0,27.63
